"Date","AQS_SITE_ID","POC","Daily Max 8-hour CO Concentration","UNITS","DAILY_AQI_VALUE","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CSA_CODE","CSA_NAME","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"02/26/1982","17-031-0037","1","5.00000","ppm","56.00","24","100.0000","42101","Carbon monoxide","176","Chicago-Naperville-Michigan City, IL-IN-WI","16980","Chicago-Naperville-Joliet, IL-IN-WI","17","Illinois","031","Cook","41.979444","-87.670000"
"02/27/1982","17-031-0037","1","5.70000","ppm","63.00","24","100.0000","42101","Carbon monoxide","176","Chicago-Naperville-Michigan City, IL-IN-WI","16980","Chicago-Naperville-Joliet, IL-IN-WI","17","Illinois","031","Cook","41.979444","-87.670000"
"02/28/1982","17-031-0037","1","4.00000","ppm","45.00","24","100.0000","42101","Carbon monoxide","176","Chicago-Naperville-Michigan City, IL-IN-WI","16980","Chicago-Naperville-Joliet, IL-IN-WI","17","Illinois","031","Cook","41.979444","-87.670000"
"03/01/1982","17-031-0037","1","3.70000","ppm","42.00","24","100.0000","42101","Carbon monoxide","176","Chicago-Naperville-Michigan City, IL-IN-WI","16980","Chicago-Naperville-Joliet, IL-IN-WI","17","Illinois","031","Cook","41.979444","-87.670000"
"03/02/1982","17-031-0037","1","3.50000","ppm","40.00","24","100.0000","42101","Carbon monoxide","176","Chicago-Naperville-Michigan City, IL-IN-WI","16980","Chicago-Naperville-Joliet, IL-IN-WI","17","Illinois","031","Cook","41.979444","-87.670000"
"03/03/1982","17-031-0037","1","4.20000","ppm","48.00","24","100.0000","42101","Carbon monoxide","176","Chicago-Naperville-Michigan City, IL-IN-WI","16980","Chicago-Naperville-Joliet, IL-IN-WI","17","Illinois","031","Cook","41.979444","-87.670000"
"03/04/1982","17-031-0037","1","3.80000","ppm","43.00","24","100.0000","42101","Carbon monoxide","176","Chicago-Naperville-Michigan City, IL-IN-WI","16980","Chicago-Naperville-Joliet, IL-IN-WI","17","Illinois","031","Cook","41.979444","-87.670000"
"03/05/1982","17-031-0037","1","4.20000","ppm","48.00","24","100.0000","42101","Carbon monoxide","176","Chicago-Naperville-Michigan City, IL-IN-WI","16980","Chicago-Naperville-Joliet, IL-IN-WI","17","Illinois","031","Cook","41.979444","-87.670000"
"03/06/1982","17-031-0037","1","5.50000","ppm","61.00","24","100.0000","42101","Carbon monoxide","176","Chicago-Naperville-Michigan City, IL-IN-WI","16980","Chicago-Naperville-Joliet, IL-IN-WI","17","Illinois","031","Cook","41.979444","-87.670000"
"03/10/1982","17-031-0037","1","2.40000","ppm","27.00","24","100.0000","42101","Carbon monoxide","176","Chicago-Naperville-Michigan City, IL-IN-WI","16980","Chicago-Naperville-Joliet, IL-IN-WI","17","Illinois","031","Cook","41.979444","-87.670000"
"03/11/1982","17-031-0037","1","2.30000","ppm","26.00","24","100.0000","42101","Carbon monoxide","176","Chicago-Naperville-Michigan City, IL-IN-WI","16980","Chicago-Naperville-Joliet, IL-IN-WI","17","Illinois","031","Cook","41.979444","-87.670000"
"03/12/1982","17-031-0037","1","2.10000","ppm","24.00","24","100.0000","42101","Carbon monoxide","176","Chicago-Naperville-Michigan City, IL-IN-WI","16980","Chicago-Naperville-Joliet, IL-IN-WI","17","Illinois","031","Cook","41.979444","-87.670000"
