0000175|08/19/1992|01002|<|20||||
0000175|08/19/1992|01007||250||||
0000175|08/19/1992|01027|<|1||||
0000175|08/19/1992|01034|<|20||||
0000175|08/19/1992|01042||14||||
0000175|08/19/1992|01045||10300||||
0000175|08/19/1992|01051||11.5||||
0000175|08/19/1992|01055||316||||
0000175|08/19/1992|01062|<|50||||
0000175|08/19/1992|01067|<|20||||
0000175|08/19/1992|01077|<|10||||
0000175|08/19/1992|01092||53||||
0000175|08/19/1992|01105||14200||||
0000175|08/19/1992|01147|<|20||||
X000194|08/19/1992|00010||21.1||||
X000194|08/19/1992|00094||1247||||
X000194|08/19/1992|00300||5.7||||
X000194|08/19/1992|00400||9||||
X000194|08/19/1992|00410||443||||
X000194|08/19/1992|00530||800||||
X000194|08/19/1992|00535||127||||Y
X000194|08/19/1992|00610||0.06||||
X000194|08/19/1992|00615||0.15||||
X000194|08/19/1992|00620||0.07||||
X000194|08/19/1992|00630||0.22||||
X000194|08/19/1992|00665||3.1||||
X000194|08/19/1992|00680||56||||
X000194|08/19/1992|00940||128||||
X000194|08/19/1992|00945|<|1||||
X000194|08/19/1992|32211||327||||Y
X000194|08/19/1992|32218||884||||Y
X000194|08/19/1992|70507||0.58||||
