Tag,Date,Parameter Code,Values,Parameter Description,Units of Measurement,Media,Method,Lat,Long,Type
Z004990,11/13/68,10,14,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z004991,12/3/68,10,7,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z004993,2/5/69,10,2,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z004994,3/18/69,10,14,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z004995,4/8/69,10,16.7,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z004996,6/5/69,10,21,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z004998,7/29/69,10,36,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z004999,8/6/69,10,33,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005000,9/10/69,10,18,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005001,10/8/69,10,23,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005002,11/18/69,10,6.7,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005003,12/17/69,10,3.3,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005005,2/4/70,10,8.3,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005006,3/4/70,10,17.2,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005007,4/15/70,10,12.8,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005008,5/27/70,10,20.6,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005009,6/10/70,10,30,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005010,6/23/70,10,26.7,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005011,8/26/70,10,20,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005012,9/9/70,10,27.8,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005013,10/6/70,10,23.9,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005014,11/24/70,10,0,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005015,12/1/70,10,10.6,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005017,2/27/71,10,0.6,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005018,3/24/71,10,6.1,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005020,5/19/71,10,13.9,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005021,6/9/71,10,20.6,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005022,7/20/71,10,32.8,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005023,8/17/71,10,24.4,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005024,9/9/71,10,16.7,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005026,11/10/71,10,18.3,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005027,12/14/71,10,6.1,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005029,2/2/72,10,0.6,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005030,3/14/72,10,13.3,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005031,5/17/72,10,23.3,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005032,7/11/72,10,23.9,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005033,8/23/72,10,28.9,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005034,9/6/72,10,23.3,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005035,10/4/72,10,18.9,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005036,11/14/72,10,5.6,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005037,12/5/72,10,0,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005039,2/6/73,10,5,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005040,3/27/73,10,5.6,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005041,4/11/73,10,13.9,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005042,5/2/73,10,13.9,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005043,6/6/73,10,17.2,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005044,7/11/73,10,21.1,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005045,8/2/73,10,28.9,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005046,9/11/73,10,24.4,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005047,10/23/73,10,21.7,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005048,11/23/73,10,12.8,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
Z005049,12/4/73,10,6.1,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
