0041878|01/08/2003|00410||80||||
0041878|01/08/2003|00530||94||||
0041878|01/08/2003|00610||0.11||||
0041878|01/08/2003|00615|<|0.05||||
0041878|01/08/2003|00620||0.17||||
0041878|01/08/2003|00625||1.53||||
0041878|01/08/2003|00665||0.47||||
0041878|01/08/2003|00680||12||||
0041878|01/08/2003|00929||9||||
0041878|01/08/2003|00940||25||||
0041878|01/08/2003|00945||8||||
0041878|01/08/2003|00951||0.19||||
0041878|01/08/2003|32211|<|10||||
0041878|01/08/2003|32218||36.3||||
0041878|01/08/2003|70300||423||||
0041878|01/08/2003|70507||0.16||||
R209036|01/08/2003|00010||7.62||||
R209036|01/08/2003|00061||0.9||||
R209036|01/08/2003|00078||0.1||||
R209036|01/08/2003|00094||278||||
R209036|01/08/2003|00300||5.74||||
R209036|01/08/2003|00400||7.38||||
R209036|01/08/2003|01351||3||||
R209036|01/08/2003|31616||618||||
R209036|01/08/2003|31699||138||||
R209036|01/08/2003|72053||10||||
R209036|01/08/2003|89835||1||||
0041942|04/10/2003|00410||146||||
0041942|04/10/2003|00530||9||||
0041942|04/10/2003|00535||2||||
0041942|04/10/2003|00610||0.2||||
0041942|04/10/2003|00615|<|0.05||||
0041942|04/10/2003|00620|<|0.05||||
0041942|04/10/2003|00625||1.13||||
0041942|04/10/2003|00665||0.14||||
0041942|04/10/2003|00680||12||||
0041942|04/10/2003|00940||69||||
0041942|04/10/2003|00945||8||||
0041942|04/10/2003|00951||0.22||||
0041942|04/10/2003|32211|<|10||||
0041942|04/10/2003|32218||12.9||||
0041942|04/10/2003|70300||342||||
0041942|04/10/2003|70507|<|0.06||||
R210006|04/10/2003|00010||11.4||||
R210006|04/10/2003|00061||0.01||||
R210006|04/10/2003|00078||0.52||||
R210006|04/10/2003|00094||494||||
R210006|04/10/2003|00300||3.3||||
R210006|04/10/2003|00400||7.4||||
R210006|04/10/2003|01351||3||||
R210006|04/10/2003|31616||364||||
R210006|04/10/2003|31699||298||||
R210006|04/10/2003|72053||7||||
R210006|04/10/2003|89835||1||||
0041838|08/19/2003|00410||164||||
0041838|08/19/2003|00530||50||||
0041838|08/19/2003|00535||12||||
0041838|08/19/2003|00610|<|0.05||||
0041838|08/19/2003|00615|<|0.05||||
0041838|08/19/2003|00620|<|0.05||||
0041838|08/19/2003|00625||1.24||||
0041838|08/19/2003|00665||0.22||||
0041838|08/19/2003|00680||9||||
0041838|08/19/2003|00940||125||||
0041838|08/19/2003|00945||15||||
0041838|08/19/2003|00951||0.44||||
0041838|08/19/2003|32211|<|10||||
0041838|08/19/2003|32218||157||||
0041838|08/19/2003|70300||490||||
0041838|08/19/2003|70507|<|0.06||||
0043901|08/19/2003|00410||170||||
0043901|08/19/2003|00530||50||||
0043901|08/19/2003|00535||9||||
0043901|08/19/2003|00610|<|0.05||||
0043901|08/19/2003|00615|<|0.05||||
0043901|08/19/2003|00620|<|0.05||||
0043901|08/19/2003|00625||0.79||||
0043901|08/19/2003|00665||0.18||||
0043901|08/19/2003|00680||8||||
0043901|08/19/2003|00940||133||||
0043901|08/19/2003|00945||18||||
0043901|08/19/2003|00951||0.44||||
0043901|08/19/2003|32211|<|10||||
0043901|08/19/2003|32218||49.3||||
0043901|08/19/2003|70300||458||||
0043901|08/19/2003|70507|<|0.06||||
0043902|08/19/2003|00410||166||||
0043902|08/19/2003|00530||70||||
0043902|08/19/2003|00535||12||||
0043902|08/19/2003|00615|<|0.05||||
0043902|08/19/2003|00620|<|0.05||||
0043902|08/19/2003|00940||128||||
0043902|08/19/2003|00945||15||||
0043902|08/19/2003|00951||0.43||||
0043902|08/19/2003|32211||12||||
0043902|08/19/2003|32218||147||||
0043902|08/19/2003|70300||472||||
0043902|08/19/2003|70507|<|0.06||||
R212807|08/19/2003|00010||30.8||||
R212807|08/19/2003|00061||0||||Y
R212807|08/19/2003|00078||0.17||||
R212807|08/19/2003|00094||760||||
R212807|08/19/2003|00300||9.9||||
R212807|08/19/2003|00400||8.3||||
R212807|08/19/2003|01351||1||||
R212807|08/19/2003|31699||1011||||
R212807|08/19/2003|72053|>|10||||
R212807|08/19/2003|89835||1||||
