Z004988|09/25/1968|00070|31
Z004988|09/25/1968|00095|1738
Z004988|09/25/1968|00300|11
Z004988|09/25/1968|00310|1
Z004988|09/25/1968|00403|8.2
Z004988|09/25/1968|00940|323
Z004988|09/25/1968|00945|59
Z004989|10/10/1968|00070|500
Z004989|10/10/1968|00095|576
Z004989|10/10/1968|00300|8
Z004989|10/10/1968|00310|4
Z004989|10/10/1968|00403|7.4
Z004989|10/10/1968|00940|80
Z004989|10/10/1968|00945|23
Z004990|11/13/1968|00010|14
Z004990|11/13/1968|00011|57.2
Z004990|11/13/1968|00070|28
Z004990|11/13/1968|00095|1590
Z004990|11/13/1968|00300|9
Z004990|11/13/1968|00310|2.5
Z004990|11/13/1968|00403|8.2
Z004990|11/13/1968|00940|253
Z004990|11/13/1968|00945|79
Z004991|12/03/1968|00010|7
Z004991|12/03/1968|00011|44.6
Z004991|12/03/1968|00020|10
Z004991|12/03/1968|00070|5
Z004991|12/03/1968|00095|1600
Z004991|12/03/1968|00300|12
Z004991|12/03/1968|00310|1
Z004991|12/03/1968|00403|8.3
Z004991|12/03/1968|00940|276
Z004991|12/03/1968|00945|68
