,DeviceID,created,lastEdited,uploaded,pot_img,loc_lat,loc_lon,loc_alt,loc_acc,loc_provider,loc_bearing,notes,Beta_key,Pothole Area (ft^2),Unnamed: 14,From John 8-27-15 from old form,Unnamed: 16,Surveyor,address
20,3becb4c2462ecd3a,1.44e+12,7/23/2015 19:46:00,7/20/2015 21:00:00,http://plus.epicollect.net//RDCEP_Urban_Research_2015/Potholes/__getImage?img=Potholes_pot_img_61ab9ac6-7d47-4644-b782-a463ca3cea7f.jpg,41.87329149,-87.66320507,152.0,43.0,gps,,,56459982-b61b-4c14-99dc-dcb719b75d55,,,False,,John,1437 W Flournoy St
21,3becb4c2462ecd3a,1.44e+12,,7/20/2015 21:00:00,,41.87327955,-87.66258117,149.0,4.0,gps,,,d03b83e2-672e-47fc-857a-da297ddfbe7d,,,False,,John,1421 W Flournoy St
22,3becb4c2462ecd3a,1.44e+12,,7/20/2015 21:00:00,,41.87213155,-87.66179608,156.0,8.0,gps,,,c0056651-bd36-4280-b79f-3e58c3e506ef,,,False,,John,756-758 S Loomis St
23,3becb4c2462ecd3a,1.44e+12,7/23/2015 19:46:00,7/20/2015 21:00:00,http://plus.epicollect.net//RDCEP_Urban_Research_2015/Potholes/__getImage?img=Potholes_pot_img_e2a858ef-e495-4968-8de2-a44eab890a0f.jpg,41.87177013,-87.66171271,151.0,6.0,gps,,,35a09a88-3ce8-46d7-aeea-4e51d718795a,,,False,,John,761-797 S Loomis St
24,3becb4c2462ecd3a,1.44e+12,,7/20/2015 21:00:00,,41.88036116,-87.66600612,157.0,12.0,gps,,,cf6ded96-8c1b-4d14-ab59-a23138dc2b9d,,,False,,John,1538 W Monroe St
25,3becb4c2462ecd3a,1.44e+12,,7/20/2015 23:44:00,http://plus.epicollect.net//RDCEP_Urban_Research_2015/Potholes/__getImage?img=Potholes_pot_img_f37fbe29-3c01-4edc-b094-d8dec1e7e031.jpg,41.8821969,-87.6529758,,36.0,network,,,d3862f80-fe1b-45fe-9ac7-5bd54b124cf2,,,False,,John,11 N Carpenter St
26,3becb4c2462ecd3a,1.44e+12,,7/20/2015 23:44:00,http://plus.epicollect.net//RDCEP_Urban_Research_2015/Potholes/__getImage?img=Potholes_pot_img_06be19aa-ec0e-4a2b-8e03-944f371be811.jpg,41.88020551,-87.6508763,163.0,24.0,gps,0.0,,bac21bcf-dd07-4cb3-9a87-31b189014124,,,False,,John,100 S Sangamon St
27,3becb4c2462ecd3a,1.44e+12,,7/20/2015 23:44:00,http://plus.epicollect.net//RDCEP_Urban_Research_2015/Potholes/__getImage?img=Potholes_pot_img_057c55c9-eeb0-4e64-a82e-1617ea6152e5.jpg,41.8791842,-87.6497726,,31.5,network,,,6b65dea4-8218-480c-8a17-e265c9cc1ccd,,,False,,John,900-928 W Adams St
28,3becb4c2462ecd3a,1.44e+12,,7/20/2015 23:44:00,http://plus.epicollect.net//RDCEP_Urban_Research_2015/Potholes/__getImage?img=Potholes_pot_img_5c655bb5-b320-4c58-9cc4-554f03af38f0.jpg,41.87844176,-87.64958839,143.0,26.0,gps,,,60c5ac85-5b0d-46e5-8451-5068ffc8cc44,,,False,,John,221 S Peoria St
29,3becb4c2462ecd3a,1.44e+12,,7/20/2015 23:44:00,http://plus.epicollect.net//RDCEP_Urban_Research_2015/Potholes/__getImage?img=Potholes_pot_img_b59ebedd-14e8-482d-95c1-e14509121912.jpg,0.0,0.0,,,,,,4b67b43f-fe3c-4770-98ce-413b2111ef87,,,False,,John,
30,3becb4c2462ecd3a,1.44e+12,,7/20/2015 23:44:00,http://plus.epicollect.net//RDCEP_Urban_Research_2015/Potholes/__getImage?img=Potholes_pot_img_74b9f07e-26af-4c21-b66c-98c599e44910.jpg,41.8768176,-87.6494982,,30.0,network,,,7f41fa8d-f799-40fa-9884-e55fd30e05b4,,,False,,John,331 S Peoria St
31,3becb4c2462ecd3a,1.44e+12,,7/20/2015 23:44:00,http://plus.epicollect.net//RDCEP_Urban_Research_2015/Potholes/__getImage?img=Potholes_pot_img_58b6af8c-a00d-4f8a-9150-98ab1f643f8d.jpg,41.8768173,-87.6495391,,30.0,network,,,e7a75e62-f0c8-4573-9a64-73f6083f57bc,,,False,,John,328-398 S Peoria St
32,3becb4c2462ecd3a,1.44e+12,,7/20/2015 23:44:00,http://plus.epicollect.net//RDCEP_Urban_Research_2015/Potholes/__getImage?img=Potholes_pot_img_dd6b6600-2431-408e-8296-bb3c91e53d1f.jpg,41.87696679,-87.64939127,124.0,11.0,gps,,,db66b214-e707-4020-bba0-e60d7688f7ea,,,False,,John,329 S Peoria St
33,3becb4c2462ecd3a,1.44e+12,,7/23/2015 18:46:00,,41.84996184,-87.70875898,141.0,7.0,gps,,Sink hole,019bfbcc-6c76-4a81-9275-a69c74382b29,,,False,,John,2245 S Christiana Ave
34,3becb4c2462ecd3a,1.44e+12,,7/23/2015 18:46:00,,41.84488798,-87.70993999,147.0,5.0,gps,,,1b10bfd7-c252-4ba3-b16b-573f2de296d0,,,False,,John,2548 S Homan Ave
