0238886|02/16/1972|00094||31000||||
Z238880|02/16/1972|00010||11.1||||
Z238880|02/16/1972|00011||52||||
Z238880|02/16/1972|00070||43||||
Z238880|02/16/1972|00094||9500||||
Z238880|02/16/1972|00095||13888||||
Z238880|02/16/1972|00300||5.4||||
Z238880|02/16/1972|00310||1||||
Z238880|02/16/1972|00403||7.1||||
Z238880|02/16/1972|00530||23||||
Z238880|02/16/1972|00535||1||||
Z238880|02/16/1972|00610||0.1||||
Z238880|02/16/1972|00620||0.15||||
Z238880|02/16/1972|00650||0.23||||
Z238880|02/16/1972|00665||0.075||||
Z238880|02/16/1972|00940||3580||||
Z238880|02/16/1972|00945||364||||
Z238880|02/16/1972|32211||10||||
Z238881|02/16/1972|00010||11.1||||
Z238881|02/16/1972|00011||52||||
Z238881|02/16/1972|00094||10000||||
Z238881|02/16/1972|00300||5.2||||
Z238882|02/16/1972|00010||10.6||||
Z238882|02/16/1972|00011||51||||
Z238882|02/16/1972|00094||11000||||
Z238882|02/16/1972|00300||5.2||||
Z238883|02/16/1972|00010||10.6||||
Z238883|02/16/1972|00011||51||||
Z238883|02/16/1972|00094||23000||||
Z238883|02/16/1972|00300||5.1||||
Z238884|02/16/1972|00010||10||||
Z238884|02/16/1972|00011||50||||
Z238884|02/16/1972|00094||28000||||
Z238884|02/16/1972|00300||5.3||||
Z238885|02/16/1972|00010||10||||
Z238885|02/16/1972|00011||50||||
Z238885|02/16/1972|00094||30000||||
Z238885|02/16/1972|00300||5.3||||
Z239896|02/16/1972|00010||15||||
Z239896|02/16/1972|00011||59||||
Z239896|02/16/1972|00070||0||||
Z239896|02/16/1972|00094||47000||||
Z239896|02/16/1972|00300||8.3||||
Z239896|02/16/1972|00400||8.3||||
Z239896|02/16/1972|00941||15700||||
Z240101|02/23/1972|00010||20||||
Z240101|02/23/1972|00011||68||||
Z240101|02/23/1972|00070||0||||
Z240101|02/23/1972|00095||71344||||
Z240101|02/23/1972|00300||10.7||||
Z240101|02/23/1972|00310||2.5||||
Z240101|02/23/1972|00400||8.8||||
Z240101|02/23/1972|00403||8.1||||
Z240101|02/23/1972|00530||118||||
Z240101|02/23/1972|00535||31||||
Z240101|02/23/1972|00610||0.1||||
Z240101|02/23/1972|00620||0.03||||
Z240101|02/23/1972|00650||0.24||||
Z240101|02/23/1972|00665||0.078||||
Z240101|02/23/1972|00940||18800||||
Z240101|02/23/1972|00945||2330||||
Z240101|02/23/1972|32211||40||||
Z240249|02/24/1972|00010||19.4||||
Z240249|02/24/1972|00011||67||||
Z240249|02/24/1972|00070||0||||
Z240249|02/24/1972|00095||71736||||
Z240249|02/24/1972|00300||10.5||||
Z240249|02/24/1972|00310||2||||
Z240249|02/24/1972|00400||8.5||||
Z240249|02/24/1972|00403||8||||
Z240249|02/24/1972|00530||49||||
Z240249|02/24/1972|00535||16||||
Z240249|02/24/1972|00610||0.1||||
Z240249|02/24/1972|00620||0.03||||
Z240249|02/24/1972|00650||0.16||||
Z240249|02/24/1972|00665||0.052||||
Z240249|02/24/1972|00940||19000||||
Z240249|02/24/1972|00945||2330||||
Z240249|02/24/1972|32211||10||||
Z239528|02/28/1972|00010||17.8||||
Z239528|02/28/1972|00011||64||||
Z239528|02/28/1972|00070||5||||
Z239528|02/28/1972|00094||32000||||
