0015121|06/27/1996|00630||0.05||||
0015121|06/27/1996|00665||0.07||||
0015121|06/27/1996|00680||1||||
0015121|06/27/1996|00940||9450||||
0015121|06/27/1996|00945||2230||||
0015121|06/27/1996|32211|<|1||||
0015121|06/27/1996|32218||5.6||||
0015121|06/27/1996|70300||19800||||
0015121|06/27/1996|70507||0.04||||
0536798|06/27/1996|00010||30.3||||
0536798|06/27/1996|00094||30755||||
0536798|06/27/1996|00300||7.2||||
0536798|06/27/1996|00400||7.9||||
0536798|06/27/1996|00480||19.1||||
0536799|06/27/1996|00010||29.5||||
0536799|06/27/1996|00094||33400||||
0536799|06/27/1996|00300||6.7||||
0536799|06/27/1996|00400||7.9||||
0536799|06/27/1996|00480||21||||
0536800|06/27/1996|00010||29.4||||
0536800|06/27/1996|00094||34650||||
0536800|06/27/1996|00300||6.4||||
0536800|06/27/1996|00400||7.9||||
0536800|06/27/1996|00480||21.9||||
0536801|06/27/1996|00010||29.3||||
0536801|06/27/1996|00094||35625||||
0536801|06/27/1996|00300||6.1||||
0536801|06/27/1996|00400||7.9||||
0536801|06/27/1996|00480||22.5||||
0536802|06/27/1996|00010||29.2||||
0536802|06/27/1996|00094||36300||||
0536802|06/27/1996|00300||6||||
0536802|06/27/1996|00400||7.9||||
0536802|06/27/1996|00480||22.9||||
0536803|06/27/1996|00010||29.2||||
0536803|06/27/1996|00094||36800||||
0536803|06/27/1996|00300||6||||
0536803|06/27/1996|00400||7.9||||
0536803|06/27/1996|00480||23.3||||
0536804|06/27/1996|00010||29.1||||
0536804|06/27/1996|00094||37287||||
0536804|06/27/1996|00300||5.8||||
0536804|06/27/1996|00400||7.9||||
0536804|06/27/1996|00480||23.6||||
0536805|06/27/1996|00010||29||||
0536805|06/27/1996|00094||37906||||
0536805|06/27/1996|00300||5.4||||
0536805|06/27/1996|00400||7.9||||
0536805|06/27/1996|00480||24.1||||
0536806|06/27/1996|00010||29||||
0536806|06/27/1996|00094||38400||||
0536806|06/27/1996|00300||5.2||||
0536806|06/27/1996|00400||7.9||||
0536806|06/27/1996|00480||24.4||||
0536807|06/27/1996|00010||28.9||||
0536807|06/27/1996|00094||39170||||
0536807|06/27/1996|00300||5||||
0536807|06/27/1996|00400||7.9||||
0536807|06/27/1996|00480||25||||
0536808|06/27/1996|00010||28.7||||
0536808|06/27/1996|00094||39935||||
0536808|06/27/1996|00300||4.5||||
0536808|06/27/1996|00400||7.9||||
0536808|06/27/1996|00480||25.5||||
0536809|06/27/1996|00010||28.6||||
0536809|06/27/1996|00094||40266||||
0536809|06/27/1996|00300||4.3||||
0536809|06/27/1996|00400||7.9||||
0536809|06/27/1996|00480||25.8||||
0536810|06/27/1996|00010||28.6||||
0536810|06/27/1996|00094||40691||||
0536810|06/27/1996|00300||3.8||||
0536810|06/27/1996|00400||7.8||||
0536810|06/27/1996|00480||26.1||||
0536811|06/27/1996|00010||28.5||||
0536811|06/27/1996|00094||40828||||
0536811|06/27/1996|00300||3.8||||
0536811|06/27/1996|00400||7.8||||
0536811|06/27/1996|00480||26.2||||
0536812|06/27/1996|00010||28.5||||
0536812|06/27/1996|00094||40810||||
0536812|06/27/1996|00300||3.8||||
0536812|06/27/1996|00400||7.8||||
0536812|06/27/1996|00480||26.1||||
R170435|06/27/1996|00010||31||||
R170435|06/27/1996|00078||0.8||||
R170435|06/27/1996|00094||28951||||
R170435|06/27/1996|00300||7.4||||
R170435|06/27/1996|00400||7.9||||
R170435|06/27/1996|00480||17.9||||
R170435|06/27/1996|31616|<|3||||
R170435|06/27/1996|72053||2||||
H037882|07/10/1996|00010||28.889||||
H037882|07/10/1996|00480||32.6||||
H037882|07/10/1996|79835||2||||
0016063|08/20/1996|00410||120||||
0016063|08/20/1996|00530||44||||
0016063|08/20/1996|00535||17||||
0016063|08/20/1996|00610|<|0.01||||
0016063|08/20/1996|00625||0.29||||
0016063|08/20/1996|00630|<|0.01||||
0016063|08/20/1996|00665||0.09||||
0016063|08/20/1996|00680||1||||
0016063|08/20/1996|00940||18600||||
0016063|08/20/1996|00945||2680||||
