Z240092|01/13/1970|00010||21.1||||
Z240092|01/13/1970|00011||70||||
Z240092|01/13/1970|00070||50||||
Z240092|01/13/1970|00095||65464||||
Z240092|01/13/1970|00300||7.3||||
Z240092|01/13/1970|00310||4.5||||
Z240092|01/13/1970|00403||8.6||||
Z240092|01/13/1970|00530||96||||
Z240092|01/13/1970|00535||22||||
Z240092|01/13/1970|00610||0.21||||
Z240092|01/13/1970|00620||0.08||||
Z240092|01/13/1970|00650||0.14||||
Z240092|01/13/1970|00665||0.046||||
Z240092|01/13/1970|00940||17200||||
Z239504|01/14/1970|00010||6||||
Z239504|01/14/1970|00011||42.8||||
Z239504|01/14/1970|00070||20||||
Z239504|01/14/1970|00094||24000||||
Z239504|01/14/1970|00095||61152||||
Z239504|01/14/1970|00300||4||||
Z239504|01/14/1970|00310||3.5||||
Z239504|01/14/1970|00403||8.8||||
Z239504|01/14/1970|00530||67||||
Z239504|01/14/1970|00535||18||||
Z239504|01/14/1970|00610||0.5||||
Z239504|01/14/1970|00620||0.26||||
Z239504|01/14/1970|00650||0.21||||
Z239504|01/14/1970|00665||0.069||||
Z239504|01/14/1970|00940||15800||||
Z239505|01/14/1970|00010||6||||
Z239505|01/14/1970|00011||42.8||||
Z239505|01/14/1970|00094||24500||||
Z239506|01/14/1970|00010||6.3||||
Z239506|01/14/1970|00011||43.3||||
Z239506|01/14/1970|00094||25000||||
Z239507|01/14/1970|00010||6.3||||
Z239507|01/14/1970|00011||43.3||||
Z239507|01/14/1970|00094||25000||||
Z239508|01/14/1970|00010||6.6||||
Z239508|01/14/1970|00011||43.9||||
Z239508|01/14/1970|00094||25500||||
Z239509|01/14/1970|00010||6.5||||
Z239509|01/14/1970|00011||43.7||||
Z239509|01/14/1970|00094||25600||||
Z240238|01/26/1970|00010||15||||
Z240238|01/26/1970|00011||59||||
Z240238|01/26/1970|00070||10||||
Z240238|01/26/1970|00095||61936||||
Z240238|01/26/1970|00300||7.1||||
Z240238|01/26/1970|00310||3.5||||
