"Date","AQS_SITE_ID","POC","Daily Max 8-hour Ozone Concentration","UNITS","DAILY_AQI_VALUE","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"02/19/1992","170010006","1","0.021","ppm","18","24","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9330099998454","-91.4042370764237"
"02/20/1992","170010006","1","0.032","ppm","27","24","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9330099998454","-91.4042370764237"
"02/21/1992","170010006","1","0.018","ppm","15","24","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9330099998454","-91.4042370764237"
"02/22/1992","170010006","1","0.011","ppm","9","24","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9330099998454","-91.4042370764237"
"02/23/1992","170010006","1","0.018","ppm","15","24","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9330099998454","-91.4042370764237"
"02/24/1992","170010006","1","0.025","ppm","21","24","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9330099998454","-91.4042370764237"
"02/25/1992","170010006","1","0.025","ppm","21","24","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9330099998454","-91.4042370764237"
"02/26/1992","170010006","1","0.024","ppm","20","24","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9330099998454","-91.4042370764237"
"02/27/1992","170010006","1","0.017","ppm","14","24","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9330099998454","-91.4042370764237"
"02/28/1992","170010006","1","0.026","ppm","22","24","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9330099998454","-91.4042370764237"
"02/29/1992","170010006","1","0.028","ppm","24","24","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9330099998454","-91.4042370764237"
"03/01/1992","170010006","1","0.046","ppm","39","24","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9330099998454","-91.4042370764237"
"03/02/1992","170010006","1","0.035","ppm","30","24","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9330099998454","-91.4042370764237"
"03/03/1992","170010006","1","0.033","ppm","28","24","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9330099998454","-91.4042370764237"
"03/04/1992","170010006","1","0.035","ppm","30","24","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9330099998454","-91.4042370764237"
"03/05/1992","170010006","1","0.032","ppm","27","24","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9330099998454","-91.4042370764237"
"03/06/1992","170010006","1","0.027","ppm","23","24","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9330099998454","-91.4042370764237"
"03/07/1992","170010006","1","0.021","ppm","18","24","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9330099998454","-91.4042370764237"
"03/08/1992","170010006","1","0.036","ppm","31","24","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9330099998454","-91.4042370764237"
"03/09/1992","170010006","1","0.035","ppm","30","24","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9330099998454","-91.4042370764237"
"03/10/1992","170010006","1","0.03","ppm","25","24","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9330099998454","-91.4042370764237"
"03/11/1992","170010006","1","0.025","ppm","21","24","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9330099998454","-91.4042370764237"
"03/12/1992","170010006","1","0.032","ppm","27","24","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9330099998454","-91.4042370764237"
"03/14/1992","170010006","1","0.025","ppm","21","24","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9330099998454","-91.4042370764237"
"03/15/1992","170010006","1","0.037","ppm","31","24","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9330099998454","-91.4042370764237"
