
Search Parameters:State in (AS)	
Data Group	Sampling Year	Station Name	Sampling Collection Date	Latitude Decimal Degrees	Longitude Decimal Degrees	Water Column Sampled	Water Measurement Name	Value	Units	Detection Limit Concentration	Collection Depth	Depth Units	Collection Property	Method Used	QA Code	
National Coastal Assessment-Pacific Insular/U.S. National Park Service	2004	AS04-0001	13-APR-2004	-14.234	-170.672	Mid-water4	pH	7.9	pH units		4.0	m		Hydrolab/YSI		
National Coastal Assessment-Pacific Insular/U.S. National Park Service	2004	AS04-0001	13-APR-2004	-14.234	-170.672	Mid-water5	Ambient photosynthetically active radiation	2157.0	µE/m2/s		5.0	m		Licor 2pi Sensor		
National Coastal Assessment-Pacific Insular/U.S. National Park Service	2004	AS04-0001	13-APR-2004	-14.234	-170.672	Mid-water5	Dissolved oxygen	6.65	mg/L		5.0	m		Hydrolab/YSI		
National Coastal Assessment-Pacific Insular/U.S. National Park Service	2004	AS04-0001	13-APR-2004	-14.234	-170.672	Mid-water5	Salinity	30.8	ppt		5.0	m		Hydrolab/YSI		
National Coastal Assessment-Pacific Insular/U.S. National Park Service	2004	AS04-0001	13-APR-2004	-14.234	-170.672	Mid-water5	Temperature	29.6	deg C		5.0	m		Hydrolab/YSI		
National Coastal Assessment-Pacific Insular/U.S. National Park Service	2004	AS04-0001	13-APR-2004	-14.234	-170.672	Mid-water5	Water column photosynthetically active radiation	749.5	µE/m2/s		5.0	m		Licor 2pi Sensor		
National Coastal Assessment-Pacific Insular/U.S. National Park Service	2004	AS04-0001	13-APR-2004	-14.234	-170.672	Mid-water5	pH	7.9	pH units		5.0	m		Hydrolab/YSI		
National Coastal Assessment-Pacific Insular/U.S. National Park Service	2004	AS04-0001	13-APR-2004	-14.234	-170.672	Mid-water6	Ambient photosynthetically active radiation	2200.5	µE/m2/s		10.0	m		Licor 2pi Sensor		
National Coastal Assessment-Pacific Insular/U.S. National Park Service	2004	AS04-0001	13-APR-2004	-14.234	-170.672	Mid-water6	Dissolved oxygen	6.7	mg/L		10.0	m		Hydrolab/YSI		
National Coastal Assessment-Pacific Insular/U.S. National Park Service	2004	AS04-0001	13-APR-2004	-14.234	-170.672	Mid-water6	Salinity	35.8	ppt		10.0	m		Hydrolab/YSI		
National Coastal Assessment-Pacific Insular/U.S. National Park Service	2004	AS04-0001	13-APR-2004	-14.234	-170.672	Mid-water6	Temperature	27.6	deg C		10.0	m		Hydrolab/YSI		
National Coastal Assessment-Pacific Insular/U.S. National Park Service	2004	AS04-0001	13-APR-2004	-14.234	-170.672	Mid-water6	Water column photosynthetically active radiation	569.5	µE/m2/s		10.0	m		Licor 2pi Sensor		
National Coastal Assessment-Pacific Insular/U.S. National Park Service	2004	AS04-0001	13-APR-2004	-14.234	-170.672	Mid-water6	pH	7.9	pH units		10.0	m		Hydrolab/YSI		
National Coastal Assessment-Pacific Insular/U.S. National Park Service	2004	AS04-0001	13-APR-2004	-14.234	-170.672	Mid-water7	Ambient photosynthetically active radiation	2142.0	µE/m2/s		15.0	m		Licor 2pi Sensor		
National Coastal Assessment-Pacific Insular/U.S. National Park Service	2004	AS04-0001	13-APR-2004	-14.234	-170.672	Mid-water7	Dissolved oxygen	6.65	mg/L		15.0	m		Hydrolab/YSI		
National Coastal Assessment-Pacific Insular/U.S. National Park Service	2004	AS04-0001	13-APR-2004	-14.234	-170.672	Mid-water7	Salinity	35.8	ppt		15.0	m		Hydrolab/YSI		
National Coastal Assessment-Pacific Insular/U.S. National Park Service	2004	AS04-0001	13-APR-2004	-14.234	-170.672	Mid-water7	Temperature	29.55	deg C		15.0	m		Hydrolab/YSI		
National Coastal Assessment-Pacific Insular/U.S. National Park Service	2004	AS04-0001	13-APR-2004	-14.234	-170.672	Mid-water7	Water column photosynthetically active radiation	444.5	µE/m2/s		15.0	m		Licor 2pi Sensor		
National Coastal Assessment-Pacific Insular/U.S. National Park Service	2004	AS04-0001	13-APR-2004	-14.234	-170.672	Mid-water7	pH	7.9	pH units		15.0	m		Hydrolab/YSI		
National Coastal Assessment-Pacific Insular/U.S. National Park Service	2004	AS04-0001	13-APR-2004	-14.234	-170.672	Mid-water8	Ambient photosynthetically active radiation	2158.5	µE/m2/s		20.0	m		Licor 2pi Sensor		
National Coastal Assessment-Pacific Insular/U.S. National Park Service	2004	AS04-0001	13-APR-2004	-14.234	-170.672	Mid-water8	Dissolved oxygen	6.75	mg/L		20.0	m		Hydrolab/YSI		
National Coastal Assessment-Pacific Insular/U.S. National Park Service	2004	AS04-0001	13-APR-2004	-14.234	-170.672	Mid-water8	Salinity	35.8	ppt		20.0	m		Hydrolab/YSI		
National Coastal Assessment-Pacific Insular/U.S. National Park Service	2004	AS04-0001	13-APR-2004	-14.234	-170.672	Mid-water8	Temperature	29.5	deg C		20.0	m		Hydrolab/YSI		
National Coastal Assessment-Pacific Insular/U.S. National Park Service	2004	AS04-0001	13-APR-2004	-14.234	-170.672	Mid-water8	Water column photosynthetically active radiation	351.5	µE/m2/s		20.0	m		Licor 2pi Sensor		
National Coastal Assessment-Pacific Insular/U.S. National Park Service	2004	AS04-0001	13-APR-2004	-14.234	-170.672	Mid-water8	pH	7.9	pH units		20.0	m		Hydrolab/YSI		
National Coastal Assessment-Pacific Insular/U.S. National Park Service	2004	AS04-0001	13-APR-2004	-14.234	-170.672	Surface	Ambient photosynthetically active radiation	2189.5	µE/m2/s		0.5	m		Licor 2pi Sensor		
National Coastal Assessment-Pacific Insular/U.S. National Park Service	2004	AS04-0001	13-APR-2004	-14.234	-170.672	Surface	Dissolved oxygen	6.8	mg/L		0.5	m		Hydrolab/YSI		
National Coastal Assessment-Pacific Insular/U.S. National Park Service	2004	AS04-0001	13-APR-2004	-14.234	-170.672	Surface	Salinity	35.8	ppt		0.5	m		Hydrolab/YSI		
National Coastal Assessment-Pacific Insular/U.S. National Park Service	2004	AS04-0001	13-APR-2004	-14.234	-170.672	Surface	Temperature	29.7	deg C		0.5	m		Hydrolab/YSI		
National Coastal Assessment-Pacific Insular/U.S. National Park Service	2004	AS04-0001	13-APR-2004	-14.234	-170.672	Surface	Water column photosynthetically active radiation	1466.0	µE/m2/s		0.5	m		Licor 2pi Sensor		
National Coastal Assessment-Pacific Insular/U.S. National Park Service	2004	AS04-0001	13-APR-2004	-14.234	-170.672	Surface	pH	7.9	pH units		0.5	m		Hydrolab/YSI		
