,Tag,Date,Parameter Code,Values,Parameter Description,Units of Measurement,Media,Method,Lat,Long,Type
2654,Z005086,5/1/78,94,1100,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
2655,Z005087,7/26/78,94,1200,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
2656,Z005088,10/3/78,94,1020,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
2657,Z005089,1/10/79,94,1000,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
2658,Z005090,6/7/79,94,790,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
2659,Z005091,7/11/79,94,319,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
2660,Z005092,8/7/79,94,274,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
2661,Z005094,9/12/79,94,1080,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
2662,Z005095,10/4/79,94,1680,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
2663,Z005096,11/7/79,94,1280,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
2664,Z005097,12/4/79,94,1290,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
2665,Z005098,1/9/80,94,840,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
2666,Z005100,3/13/80,94,1662,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
2667,Z005101,4/24/80,94,835,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
2668,Z005102,8/15/80,94,1350,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
2669,Z005103,12/3/80,94,1110,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
2670,Z005104,2/3/81,94,1800,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
2671,Z005105,5/6/81,94,4150,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
2672,Z005106,8/18/81,94,899,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
2673,Z005107,10/29/81,94,710,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
2674,Z005108,2/24/82,94,1684,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
2675,Z005109,4/14/82,94,1646,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
2676,Z005110,8/11/82,94,1208,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
2677,Z005111,11/16/82,94,886,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
2678,Z005112,2/24/83,94,1690,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
2679,Z005113,5/26/83,94,1655,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
2680,Z005114,8/24/83,94,841,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
2681,Z005115,11/15/83,94,889,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
2682,Z005116,2/22/84,94,1484,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
2683,Z005117,5/23/84,94,1188,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
2684,Z005118,8/20/84,94,892,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
2685,Z005119,11/12/84,94,1027,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
2686,Z005120,2/13/85,94,1707,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
2687,Z005121,5/8/85,94,1293,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
2688,Z005122,8/21/85,94,957,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
2689,Z005123,11/25/85,94,1696,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
2690,Z005124,2/26/86,94,1758,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
2691,Z005125,4/23/86,94,1608,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
2692,Z005126,7/10/86,94,1039,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
2693,Z005127,11/6/86,94,1617,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
2694,Z005128,2/25/87,94,1636,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
2695,Z005129,5/28/87,94,1145,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
2696,Z005130,8/5/87,94,196,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
2697,Z005131,11/19/87,94,1765,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
2698,Z005132,1/21/88,94,1643,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
2699,Z005133,5/5/88,94,1250,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
2700,Z005134,8/22/88,94,856,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
2701,Z005135,12/19/88,94,1750,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
2702,Z005136,6/14/89,94,990,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
2703,Z005139,7/17/90,94,1060,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
2704,Z005140,7/17/90,94,1040,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
2705,Z005141,7/17/90,94,1060,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
2706,Z005142,7/17/90,94,1070,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
2707,Z005143,7/17/90,94,1090,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
2708,Z005144,7/17/90,94,1080,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
2709,Z005145,7/18/90,94,1080,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
2710,Z005146,7/18/90,94,1100,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
2711,Z005147,7/18/90,94,1100,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
2712,Z005148,7/18/90,94,1110,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
2713,Z005149,7/18/90,94,1120,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
2714,Z005150,7/18/90,94,1130,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
2715,Z005151,7/18/90,94,1110,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
2716,Z005152,7/18/90,94,1120,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
2717,Z005153,7/18/90,94,1110,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
2718,Z005154,7/18/90,94,1100,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
2719,Z005155,7/18/90,94,1120,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
2720,Z005156,7/18/90,94,1130,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
2721,Z005157,7/18/90,94,1120,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
2722,Z005158,7/18/90,94,1110,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
2723,Z005159,7/18/90,94,1100,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
2724,Z005160,7/18/90,94,1080,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
2725,Z005161,7/18/90,94,1070,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
2726,Z005163,7/18/90,94,1050,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
2727,Z005137,7/25/90,94,929,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
2728,Z005138,8/28/91,94,791,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
2729,X000203,8/26/92,94,1490,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
2730,R010036,8/24/93,94,1260,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
2731,R010057,10/28/93,94,1427,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
2732,R010069,1/24/94,94,1690,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
2733,R161066,4/19/94,94,1760,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
2734,R161143,8/10/94,94,780,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
2735,R168060,10/11/94,94,858,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
2736,R168098,2/22/95,94,1800,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
2737,R168323,5/11/95,94,1890,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
2738,R168385,8/8/95,94,1405,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
2739,R168465,11/28/95,94,1780,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
2740,R168514,1/24/96,94,2030,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
2741,R170253,4/24/96,94,1870,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
2742,R171049,7/16/96,94,432,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
2743,R172467,10/8/96,94,1530,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
2744,R172479,12/10/96,94,1730,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
2745,R173783,5/8/97,94,1450,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
2746,R173967,5/21/97,94,1690,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
2747,R176007,7/28/97,94,1311,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
2748,R176660,11/4/97,94,1800,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
2749,RR10050,12/11/97,94,1509,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
2750,R176932,1/12/98,94,1730,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
2751,RR10062,1/27/98,94,1496,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
2752,RR10066,2/24/98,94,1599,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
2753,R179265,3/23/98,94,1477,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
2754,RR10250,3/24/98,94,1173,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
2755,RR10251,4/22/98,94,1543,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
2756,RR10255,5/27/98,94,1534,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
2757,R179284,6/4/98,94,1640,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
2758,RR10302,6/22/98,94,1288,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
2759,R179310,7/22/98,94,1331,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
2760,RR10312,7/30/98,94,1166,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
2761,RR10333,8/26/98,94,1027,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
2762,RR10334,9/24/98,94,1058,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
2763,RR10357,10/27/98,94,1098,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
2764,RR10388,11/16/98,94,1597,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
2765,R184910,11/18/98,94,1870,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
2766,R184974,1/13/99,94,1930,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
2767,R185035,5/17/99,94,1433,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
2768,R186104,8/11/99,94,1660,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
2769,RR10572,9/14/99,94,1157,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
2770,U031271,10/6/99,94,1090,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
2771,RR10578,10/11/99,94,1045,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
2772,RR10583,11/9/99,94,1213,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
2773,RR10588,12/7/99,94,1704,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
2774,RR10593,1/10/00,94,1726,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
2775,RR10614,2/8/00,94,1947,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
2776,U031272,2/17/00,94,1700,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
2777,RR10634,3/7/00,94,1854,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
2778,U031273,3/21/00,94,1790,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
2779,RR10669,4/10/00,94,1742,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
2780,RR10690,5/9/00,94,1715,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
2781,RR10710,6/12/00,94,1729,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
2782,U031274,6/27/00,94,1910,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
2783,RR10715,7/10/00,94,1326,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
2784,RR10721,8/9/00,94,1008,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
2785,U031275,8/24/00,94,857,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
2786,RR10727,9/12/00,94,845,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
2787,RR10732,10/9/00,94,968,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
2788,RR10750,11/7/00,94,1495,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
2789,RR10743,12/4/00,94,1527,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
2790,RR10796,1/9/01,94,1651,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
2791,RR10804,2/13/01,94,1814,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
2792,RR10839,3/13/01,94,1780,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
2793,RR10846,4/3/01,94,1803,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
2794,RR10854,5/8/01,94,1647,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
2795,RR10861,6/11/01,94,1387,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
2796,RR10868,7/10/01,94,899,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
2797,RR10876,8/7/01,94,863,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
2798,RR10884,9/18/01,94,859,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
2799,RR10944,12/5/01,94,1003,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
2800,2265407,2/13/02,94,527,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
2801,2265408,2/13/02,94,528,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
2802,R205796,2/13/02,94,528,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
2803,RR11037,3/19/02,94,1600,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
