Tag,Date,Parameter Code,Values,Parameter Description,Units of Measurement,Media,Method,Type,Lat ,Long
U702094,9/26/07,3,8,"SAMPLING STATION LOCATION, VERTICAL FEET",FT,Other,N/A Calculation,Water,33.90492,-96.665033
U702118,9/26/07,3,1,"SAMPLING STATION LOCATION, VERTICAL FEET",FT,Other,N/A Calculation,Water,33.90492,-96.665033
U702119,9/26/07,3,8,"SAMPLING STATION LOCATION, VERTICAL FEET",FT,Other,N/A Calculation,Water,33.90492,-96.665033
U702072,9/27/07,3,1,"SAMPLING STATION LOCATION, VERTICAL FEET",FT,Other,N/A Calculation,Water,33.90492,-96.665033
U702073,9/27/07,3,10,"SAMPLING STATION LOCATION, VERTICAL FEET",FT,Other,N/A Calculation,Water,33.90492,-96.665033
U702074,9/27/07,3,20,"SAMPLING STATION LOCATION, VERTICAL FEET",FT,Other,N/A Calculation,Water,33.90492,-96.665033
U702075,9/27/07,3,30,"SAMPLING STATION LOCATION, VERTICAL FEET",FT,Other,N/A Calculation,Water,33.90492,-96.665033
U702076,9/27/07,3,40,"SAMPLING STATION LOCATION, VERTICAL FEET",FT,Other,N/A Calculation,Water,33.90492,-96.665033
U702077,9/27/07,3,50,"SAMPLING STATION LOCATION, VERTICAL FEET",FT,Other,N/A Calculation,Water,33.90492,-96.665033
U702078,9/27/07,3,60,"SAMPLING STATION LOCATION, VERTICAL FEET",FT,Other,N/A Calculation,Water,33.90492,-96.665033
U702079,9/27/07,3,70,"SAMPLING STATION LOCATION, VERTICAL FEET",FT,Other,N/A Calculation,Water,33.90492,-96.665033
U702080,9/27/07,3,80,"SAMPLING STATION LOCATION, VERTICAL FEET",FT,Other,N/A Calculation,Water,33.90492,-96.665033
U702081,9/27/07,3,92,"SAMPLING STATION LOCATION, VERTICAL FEET",FT,Other,N/A Calculation,Water,33.90492,-96.665033
U702121,9/27/07,3,10,"SAMPLING STATION LOCATION, VERTICAL FEET",FT,Other,N/A Calculation,Water,33.90492,-96.665033
13667245,9/27/12,10,24.6,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,33.90492,-96.665033
13667244,9/27/12,10,24.6,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,33.90492,-96.665033
13667243,9/27/12,10,24.6,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,33.90492,-96.665033
13667242,9/27/12,10,24.6,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,33.90492,-96.665033
13667241,9/27/12,10,24.6,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,33.90492,-96.665033
13667240,9/27/12,10,24.6,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,33.90492,-96.665033
13667239,9/27/12,10,24.6,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,33.90492,-96.665033
13667238,9/27/12,10,24.6,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,33.90492,-96.665033
13667237,9/27/12,10,24.6,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,33.90492,-96.665033
13667236,9/27/12,10,24.6,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,33.90492,-96.665033
13667235,9/27/12,10,24.7,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,33.90492,-96.665033
13667234,9/27/12,10,24.7,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,33.90492,-96.665033
13667233,9/27/12,10,24.9,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,33.90492,-96.665033
13667232,9/27/12,10,25.1,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,33.90492,-96.665033
RR23429,9/4/12,10,28.3,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,33.90492,-96.665033
RR23428,9/4/12,10,27.6,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,33.90492,-96.665033
RR23303,8/21/12,10,28.1,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,33.90492,-96.665033
RR23302,8/21/12,10,27.6,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,33.90492,-96.665033
RR23295,7/11/12,10,29.3,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,33.90492,-96.665033
RR23294,7/11/12,10,28.6,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,33.90492,-96.665033
RR23365,6/29/12,10,30.2,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,33.90492,-96.665033
RR23357,6/29/12,10,29.5,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,33.90492,-96.665033
RR23343,6/29/12,10,28.2,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,33.90492,-96.665033
13649908,6/29/12,10,28.9,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,33.90492,-96.665033
13649907,6/29/12,10,29.6,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,33.90492,-96.665033
13649906,6/29/12,10,30.1,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,33.90492,-96.665033
13649905,6/29/12,10,28.2,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,33.90492,-96.665033
13649904,6/29/12,10,29,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,33.90492,-96.665033
13649903,6/29/12,10,25,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,33.90492,-96.665033
13649902,6/29/12,10,25.8,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,33.90492,-96.665033
13649901,6/29/12,10,26.2,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,33.90492,-96.665033
13649900,6/29/12,10,27.9,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,33.90492,-96.665033
13649899,6/29/12,10,28.1,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,33.90492,-96.665033
13649849,6/29/12,10,26.6,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,33.90492,-96.665033
13649848,6/29/12,10,27.2,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,33.90492,-96.665033
13649847,6/29/12,10,28.3,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,33.90492,-96.665033
13649846,6/29/12,10,29.1,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,33.90492,-96.665033
13649845,6/29/12,10,29.6,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,33.90492,-96.665033
13649844,6/29/12,10,29.8,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,33.90492,-96.665033
13649843,6/29/12,10,29.3,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,33.90492,-96.665033
13649841,6/29/12,10,27.7,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,33.90492,-96.665033
13649840,6/29/12,10,28.9,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,33.90492,-96.665033
13649839,6/29/12,10,29,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,33.90492,-96.665033
14085345,3/6/13,10,9.7,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,33.90492,-96.665033
14085346,3/6/13,10,9.6,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,33.90492,-96.665033
14085347,3/6/13,10,9.6,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,33.90492,-96.665033
14085348,3/6/13,10,9.6,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,33.90492,-96.665033
14085349,3/6/13,10,9.4,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,33.90492,-96.665033
14085351,3/6/13,10,10.2,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,33.90492,-96.665033
14085352,3/6/13,10,9.9,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,33.90492,-96.665033
14085353,3/6/13,10,9.5,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,33.90492,-96.665033
