0047046|02/17/2004|00410||45||||
0047046|02/17/2004|00530||7||||
0047046|02/17/2004|00535||3||||
0047046|02/17/2004|00610|<|0.05||||
0047046|02/17/2004|00615|<|0.05||||
0047046|02/17/2004|00620|<|0.05||||
0047046|02/17/2004|00625||0.54||||
0047046|02/17/2004|00665|<|0.05||||
0047046|02/17/2004|00680||5||||
0047046|02/17/2004|00940||7||||
0047046|02/17/2004|00945||15||||
0047046|02/17/2004|00951||0.11||||
0047046|02/17/2004|32211||20.3||||
0047046|02/17/2004|32218|<|5||||
0047046|02/17/2004|70300||86||||
0047046|02/17/2004|70507|<|0.06||||
0047047|02/17/2004|00410||46||||
0047047|02/17/2004|00530||12||||
0047047|02/17/2004|00535||3||||
0047047|02/17/2004|00610|<|0.05||||
0047047|02/17/2004|00615|<|0.05||||
0047047|02/17/2004|00620||0.06||||
0047047|02/17/2004|00625||0.66||||
0047047|02/17/2004|00665|<|0.05||||
0047047|02/17/2004|00680||5||||
0047047|02/17/2004|00940||7||||
0047047|02/17/2004|00945||15||||
0047047|02/17/2004|00951||0.11||||
0047047|02/17/2004|32211||21.4||||
0047047|02/17/2004|32218||6.3||||
0047047|02/17/2004|70300||92||||
0047047|02/17/2004|70507|<|0.06||||
2519784|02/17/2004|00010||6.2||||
2519784|02/17/2004|00094||148||||
2519784|02/17/2004|00300||11.9||||
2519784|02/17/2004|00400||7.2||||
2519785|02/17/2004|00010||6.1||||
2519785|02/17/2004|00094||148||||
2519785|02/17/2004|00300||11.5||||
2519785|02/17/2004|00400||7.2||||
2519786|02/17/2004|00010||6||||
2519786|02/17/2004|00094||148||||
2519786|02/17/2004|00300||11.4||||
2519786|02/17/2004|00400||7.1||||
2519787|02/17/2004|00010||6||||
2519787|02/17/2004|00094||148||||
2519787|02/17/2004|00300||11.2||||
2519787|02/17/2004|00400||7.1||||
2519788|02/17/2004|00010||6||||
2519788|02/17/2004|00094||148||||
2519788|02/17/2004|00300||11.2||||
2519788|02/17/2004|00400||7.1||||
2519789|02/17/2004|00010||5.9||||
2519789|02/17/2004|00094||148||||
2519789|02/17/2004|00300||11||||
2519789|02/17/2004|00400||7||||
2519790|02/17/2004|00010||5.8||||
2519790|02/17/2004|00094||148||||
2519790|02/17/2004|00300||10.5||||
2519790|02/17/2004|00400||7||||
2519791|02/17/2004|00010||5.8||||
2519791|02/17/2004|00094||148||||
2519791|02/17/2004|00300||10.4||||
2519791|02/17/2004|00400||6.9||||
2519792|02/17/2004|00010||5.8||||
2519792|02/17/2004|00094||148||||
2519792|02/17/2004|00300||10.4||||
2519792|02/17/2004|00400||6.9||||
2519794|02/17/2004|00010||6.4||||
2519794|02/17/2004|00094||147||||
2519794|02/17/2004|00300||11.9||||
2519794|02/17/2004|00400||7.6||||
2519795|02/17/2004|00010||5.8||||
2519795|02/17/2004|00094||147||||
2519795|02/17/2004|00300||11.4||||
2519795|02/17/2004|00400||7.5||||
2519796|02/17/2004|00010||5.8||||
2519796|02/17/2004|00094||147||||
2519796|02/17/2004|00300||11.4||||
2519796|02/17/2004|00400||7.4||||
2519797|02/17/2004|00010||5.6||||
2519797|02/17/2004|00094||147||||
2519797|02/17/2004|00300||11.2||||
2519797|02/17/2004|00400||7.4||||
2519798|02/17/2004|00010||5.6||||
2519798|02/17/2004|00094||147||||
2519798|02/17/2004|00300||11||||
2519798|02/17/2004|00400||7.3||||
2519799|02/17/2004|00010||5.6||||
2519799|02/17/2004|00094||147||||
2519799|02/17/2004|00300||10.9||||
2519799|02/17/2004|00400||7.3||||
R216586|02/17/2004|00010||6.8||||
R216586|02/17/2004|00078||1||||
R216586|02/17/2004|00094||148||||
R216586|02/17/2004|00300||12||||
R216586|02/17/2004|00400||7||||
R216586|02/17/2004|31699||3||||
R216586|02/17/2004|72053||1||||
R216586|02/17/2004|82903||10.9||||
R216596|02/17/2004|00010||6.9||||
R216596|02/17/2004|00078||0.65||||
R216596|02/17/2004|00094||148||||
R216596|02/17/2004|00300||12||||
R216596|02/17/2004|00400||7.6||||
R216596|02/17/2004|31699|<|1||||
R216596|02/17/2004|72053||1||||
R216596|02/17/2004|82903||6.4||||
0047120|04/27/2004|00410||44||||
0047120|04/27/2004|00530||6||||
0047120|04/27/2004|00535||2||||
0047120|04/27/2004|00610|<|0.05||||
0047120|04/27/2004|00615|<|0.05||||
0047120|04/27/2004|00620||0.08||||
0047120|04/27/2004|00625||0.49||||
0047120|04/27/2004|00665|<|0.05||||
0047120|04/27/2004|00680||4||||
0047120|04/27/2004|00916||18.5||||
0047120|04/27/2004|00927||2.12||||
0047120|04/27/2004|00929||8.19||||
0047120|04/27/2004|00937||3.17||||
0047120|04/27/2004|00940||8||||
0047120|04/27/2004|00945||17||||
0047120|04/27/2004|00951||0.13||||
0047120|04/27/2004|00956||1.05||||
0047120|04/27/2004|01037|<|4||||
0047120|04/27/2004|01055||35||||
0047120|04/27/2004|01062|<|16||||
0047120|04/27/2004|01092|<|12||||
0047120|04/27/2004|01132|<|11||||
0047120|04/27/2004|32211|<|10||||
0047120|04/27/2004|32218|<|5||||
0047120|04/27/2004|70300||95||||
0047120|04/27/2004|70507|<|0.06||||
0047120|04/27/2004|71870|<|0.1||||
0047121|04/27/2004|00410||44||||
0047121|04/27/2004|00530||7||||
0047121|04/27/2004|00535||3||||
0047121|04/27/2004|00610|<|0.05||||
0047121|04/27/2004|00615|<|0.05||||
0047121|04/27/2004|00620|<|0.05||||
0047121|04/27/2004|00625||0.54||||
0047121|04/27/2004|00665|<|0.05||||
0047121|04/27/2004|00680||4||||
0047121|04/27/2004|00916||18.9||||
0047121|04/27/2004|00927||2.15||||
0047121|04/27/2004|00929||8.45||||
0047121|04/27/2004|00937||2.94||||
0047121|04/27/2004|00940||8||||
0047121|04/27/2004|00945||17||||
0047121|04/27/2004|00951||0.13||||
0047121|04/27/2004|00956||1.3||||
0047121|04/27/2004|01037|<|4||||
0047121|04/27/2004|01055||40||||
0047121|04/27/2004|01062|<|16||||
0047121|04/27/2004|01092|<|12||||
0047121|04/27/2004|01132|<|11||||
0047121|04/27/2004|32211|<|10||||
0047121|04/27/2004|32218|<|5||||
0047121|04/27/2004|70300||95||||
0047121|04/27/2004|70507|<|0.06||||
0047121|04/27/2004|71870|<|0.1||||
2581062|04/27/2004|00010||21.5||||
2581062|04/27/2004|00094||153||||
2581062|04/27/2004|00300||10.2||||
2581062|04/27/2004|00400||8.3||||
2581063|04/27/2004|00010||21||||
2581063|04/27/2004|00094||153||||
2581063|04/27/2004|00300||10||||
2581063|04/27/2004|00400||8.2||||
2581064|04/27/2004|00010||20.8||||
2581064|04/27/2004|00094||153||||
2581064|04/27/2004|00300||9.5||||
2581064|04/27/2004|00400||8||||
2581065|04/27/2004|00010||20.5||||
2581065|04/27/2004|00094||153||||
2581065|04/27/2004|00300||9.1||||
2581065|04/27/2004|00400||7.8||||
2581066|04/27/2004|00010||19.5||||
2581066|04/27/2004|00094||153||||
2581066|04/27/2004|00300||7.7||||
2581066|04/27/2004|00400||7.4||||
2581067|04/27/2004|00010||19.1||||
2581067|04/27/2004|00094||153||||
2581067|04/27/2004|00300||6.8||||
2581067|04/27/2004|00400||7.2||||
2581068|04/27/2004|00010||19||||
2581068|04/27/2004|00094||153||||
2581068|04/27/2004|00300||6.6||||
2581068|04/27/2004|00400||7.2||||
2581069|04/27/2004|00010||18.4||||
2581069|04/27/2004|00094||155||||
2581069|04/27/2004|00300||5.3||||
2581069|04/27/2004|00400||7.1||||
2581070|04/27/2004|00010||18.1||||
2581070|04/27/2004|00094||157||||
2581070|04/27/2004|00300||4||||
2581070|04/27/2004|00400||7||||
2581071|04/27/2004|00010||18||||
2581071|04/27/2004|00094||158||||
2581071|04/27/2004|00300||3.5||||
2581071|04/27/2004|00400||7||||
2581072|04/27/2004|00010||17.9||||
2581072|04/27/2004|00094||158||||
2581072|04/27/2004|00300||3||||
2581072|04/27/2004|00400||6.9||||
2581074|04/27/2004|00010||21.6||||
2581074|04/27/2004|00094||153||||
2581074|04/27/2004|00300||9.8||||
2581074|04/27/2004|00400||8.6||||
2581075|04/27/2004|00010||21||||
2581075|04/27/2004|00094||153||||
2581075|04/27/2004|00300||9||||
2581075|04/27/2004|00400||8.1||||
2581076|04/27/2004|00010||20.4||||
2581076|04/27/2004|00094||153||||
2581076|04/27/2004|00300||8||||
2581076|04/27/2004|00400||7.6||||
2581077|04/27/2004|00010||19.5||||
2581077|04/27/2004|00094||153||||
2581077|04/27/2004|00300||7.4||||
2581077|04/27/2004|00400||7.4||||
2581078|04/27/2004|00010||19.1||||
2581078|04/27/2004|00094||153||||
2581078|04/27/2004|00300||6.9||||
2581078|04/27/2004|00400||7.2||||
2581079|04/27/2004|00010||18.9||||
2581079|04/27/2004|00094||154||||
2581079|04/27/2004|00300||6.2||||
2581079|04/27/2004|00400||7.2||||
R218451|04/27/2004|00010||21.6||||
R218451|04/27/2004|00078||0.9||||
R218451|04/27/2004|00094||153||||
R218451|04/27/2004|00300||10.1||||
R218451|04/27/2004|00400||8.4||||
R218451|04/27/2004|31699||2||||
R218451|04/27/2004|72053||2||||
R218451|04/27/2004|82903||11.3||||
R218463|04/27/2004|00010||22||||
R218463|04/27/2004|00078||0.9||||
R218463|04/27/2004|00094||153||||
R218463|04/27/2004|00300||10||||
R218463|04/27/2004|00400||8.6||||
R218463|04/27/2004|31699|<|1||||
R218463|04/27/2004|72053||2||||
R218463|04/27/2004|82903||6.6||||
0048274|07/28/2004|00410||48||||
0048274|07/28/2004|00530||4||||
0048274|07/28/2004|00535||2||||
0048274|07/28/2004|00610|<|0.05||||
0048274|07/28/2004|00615|<|0.05||||
0048274|07/28/2004|00620|<|0.05||||
0048274|07/28/2004|00625||0.58||||
0048274|07/28/2004|00665|<|0.05||||
0048274|07/28/2004|00680||6||||
0048274|07/28/2004|00916||19.8||||
0048274|07/28/2004|00927||2.25||||
0048274|07/28/2004|00929||8.51||||
0048274|07/28/2004|00937||3.09||||
0048274|07/28/2004|00940||8||||
0048274|07/28/2004|00945||15||||
0048274|07/28/2004|00951||0.14||||
0048274|07/28/2004|00956||4.35||||
0048274|07/28/2004|01002||2.87||||
0048274|07/28/2004|01027|<|0.1||||
0048274|07/28/2004|01034|<|4||||
0048274|07/28/2004|01037|<|4||||
0048274|07/28/2004|01042|<|6||||
0048274|07/28/2004|01045||115||||
0048274|07/28/2004|01051|<|1||||
0048274|07/28/2004|01055||76||||
0048274|07/28/2004|01062|<|16||||
0048274|07/28/2004|01067|<|17||||
0048274|07/28/2004|01077|<|0.5||||
0048274|07/28/2004|01092|<|12||||
0048274|07/28/2004|01105||41||||
0048274|07/28/2004|01132||12||||
0048274|07/28/2004|01147|<|0.25||||
0048274|07/28/2004|32211||20.4||||
0048274|07/28/2004|32218|<|5||||
0048274|07/28/2004|70300||101||||
0048274|07/28/2004|70507|<|0.06||||
0048274|07/28/2004|71870|<|0.1||||
0048275|07/28/2004|00410||50||||
0048275|07/28/2004|00530||7||||
0048275|07/28/2004|00535||3||||
0048275|07/28/2004|00610|<|0.05||||
0048275|07/28/2004|00615|<|0.05||||
0048275|07/28/2004|00620|<|0.05||||
0048275|07/28/2004|00625||0.66||||
0048275|07/28/2004|00665|<|0.05||||
0048275|07/28/2004|00680||6||||
0048275|07/28/2004|00916||20.3||||
0048275|07/28/2004|00927||2.3||||
0048275|07/28/2004|00929||8.63||||
0048275|07/28/2004|00937||3.25||||
0048275|07/28/2004|00940||8||||
0048275|07/28/2004|00945||14||||
0048275|07/28/2004|00951||0.15||||
0048275|07/28/2004|00956||5.49||||
0048275|07/28/2004|01002||3.41||||
0048275|07/28/2004|01027|<|0.1||||
0048275|07/28/2004|01034|<|4||||
0048275|07/28/2004|01037|<|4||||
0048275|07/28/2004|01042|<|6||||
0048275|07/28/2004|01045||263||||
0048275|07/28/2004|01051|<|1||||
0048275|07/28/2004|01055||112||||
0048275|07/28/2004|01062|<|16||||
0048275|07/28/2004|01067|<|17||||
0048275|07/28/2004|01077|<|0.5||||
0048275|07/28/2004|01092|<|12||||
0048275|07/28/2004|01105||131||||
0048275|07/28/2004|01132||13||||
0048275|07/28/2004|01147|<|0.25||||
0048275|07/28/2004|32211||19.2||||
0048275|07/28/2004|32218|<|5||||
0048275|07/28/2004|70300||101||||
0048275|07/28/2004|70507|<|0.06||||
0048275|07/28/2004|71870|<|0.1||||
0050718|07/28/2004|32764|<|647||||
0050718|07/28/2004|32772|<|647||||
0050718|07/28/2004|34203|<|647||||
0050718|07/28/2004|34208|<|647||||
0050718|07/28/2004|34223|<|647||||
0050718|07/28/2004|34233|<|647||||
0050718|07/28/2004|34245|<|647||||
0050718|07/28/2004|34250|<|647||||
0050718|07/28/2004|34276|<|647||||
0050718|07/28/2004|34281|<|647||||
0050718|07/28/2004|34286|<|647||||
0050718|07/28/2004|34295|<|647||||
0050718|07/28/2004|34323|<|647||||
0050718|07/28/2004|34339|<|647||||
0050718|07/28/2004|34344|<|647||||
0050718|07/28/2004|34349|<|647||||
0050718|07/28/2004|34379|<|647||||
0050718|07/28/2004|34384|<|647||||
0050718|07/28/2004|34389|<|647||||
0050718|07/28/2004|34399|<|647||||
0050718|07/28/2004|34406|<|647||||
0050718|07/28/2004|34411|<|647||||
0050718|07/28/2004|34431|<|647||||
0050718|07/28/2004|34436|<|647||||
0050718|07/28/2004|34441|<|647||||
0050718|07/28/2004|34445|<|647||||
0050718|07/28/2004|34450|<|647||||
0050718|07/28/2004|34464|<|647||||
0050718|07/28/2004|34472|<|647||||
0050718|07/28/2004|34524|<|647||||
0050718|07/28/2004|34529|<|647||||
0050718|07/28/2004|34559|<|647||||
0050718|07/28/2004|34599|<|647||||
0050718|07/28/2004|34614|<|647||||
0050718|07/28/2004|34634|<|647||||
0050718|07/28/2004|34639|<|647||||
0050718|07/28/2004|34644|<|647||||
0050718|07/28/2004|39102|<|647||||
0050718|07/28/2004|39112|<|647||||
0050718|07/28/2004|39121|<|2590||||
0050718|07/28/2004|39191|<|1290||||
0050718|07/28/2004|39631|<|647||||
0050718|07/28/2004|39705|<|647||||
0050718|07/28/2004|73031|<|647||||
0050718|07/28/2004|73116|<|647||||
0050718|07/28/2004|73117|<|647||||
0050718|07/28/2004|73118|<|647||||
0050718|07/28/2004|73119|<|647||||
0050718|07/28/2004|73124|<|647||||
0050718|07/28/2004|73125|<|647||||
0050718|07/28/2004|73129|<|647||||
0050718|07/28/2004|73143|<|647||||
0050718|07/28/2004|73156|<|647||||
0050718|07/28/2004|73158|<|647||||
0050718|07/28/2004|73159|<|647||||
0050718|07/28/2004|75212|<|647||||
0050718|07/28/2004|75315|<|2590||||
0050718|07/28/2004|75647|<|647||||
0050718|07/28/2004|78299|<|647||||
0050718|07/28/2004|78543|<|647||||
0050718|07/28/2004|78755|<|647||||
0050718|07/28/2004|78866|<|647||||
0050718|07/28/2004|78867|<|647||||
0050718|07/28/2004|78868|<|647||||
0050718|07/28/2004|78869|<|647||||
0050718|07/28/2004|78870|<|647||||
0050718|07/28/2004|80256||0.03||||
0050718|07/28/2004|81373||77.3||||
0050718|07/28/2004|81818|<|647||||
0050718|07/28/2004|81951|<|1940||||
0050718|07/28/2004|82003||22.7||||
0050718|07/28/2004|82008||28||||
0050718|07/28/2004|88817|<|2590||||
0050718|07/28/2004|88823|<|647||||
0050718|07/28/2004|89991||72||||
2614565|07/28/2004|00010||27.8||||
2614565|07/28/2004|00094||165||||
2614565|07/28/2004|00300||5.9||||
2614565|07/28/2004|00400||8||||
2614566|07/28/2004|00010||27.8||||
2614566|07/28/2004|00094||165||||
2614566|07/28/2004|00300||5.8||||
2614566|07/28/2004|00400||7.9||||
2614567|07/28/2004|00010||27.8||||
2614567|07/28/2004|00094||165||||
2614567|07/28/2004|00300||5.7||||
2614567|07/28/2004|00400||7.9||||
2614568|07/28/2004|00010||27.8||||
2614568|07/28/2004|00094||165||||
2614568|07/28/2004|00300||5.7||||
2614568|07/28/2004|00400||7.8||||
2614569|07/28/2004|00010||27.8||||
2614569|07/28/2004|00094||165||||
2614569|07/28/2004|00300||5||||
2614569|07/28/2004|00400||7.5||||
2614570|07/28/2004|00010||27.6||||
2614570|07/28/2004|00094||167||||
2614570|07/28/2004|00300||3.1||||
2614570|07/28/2004|00400||7.2||||
2614571|07/28/2004|00010||27.4||||
2614571|07/28/2004|00094||171||||
