,Date,AQS_SITE_ID,POC,Daily Max 1-hour NO2 Concentration,UNITS,DAILY_AQI_VALUE,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CSA_CODE,CSA_NAME,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE,Type
21,01/23/1980,17-031-5001,1,33.0,ppb,31.0,24,100.0,42602,Nitrogen dioxide (NO2),176,"Chicago-Naperville-Michigan City, IL-IN-WI",16980,"Chicago-Naperville-Joliet, IL-IN-WI",17,Illinois,31,Cook,41.514722,-87.645,Air Data NO2
22,01/24/1980,17-031-5001,1,36.0,ppb,34.0,24,100.0,42602,Nitrogen dioxide (NO2),176,"Chicago-Naperville-Michigan City, IL-IN-WI",16980,"Chicago-Naperville-Joliet, IL-IN-WI",17,Illinois,31,Cook,41.514722,-87.645,Air Data NO2
23,01/25/1980,17-031-5001,1,45.0,ppb,42.0,24,100.0,42602,Nitrogen dioxide (NO2),176,"Chicago-Naperville-Michigan City, IL-IN-WI",16980,"Chicago-Naperville-Joliet, IL-IN-WI",17,Illinois,31,Cook,41.514722,-87.645,Air Data NO2
24,01/26/1980,17-031-5001,1,65.0,ppb,63.0,24,100.0,42602,Nitrogen dioxide (NO2),176,"Chicago-Naperville-Michigan City, IL-IN-WI",16980,"Chicago-Naperville-Joliet, IL-IN-WI",17,Illinois,31,Cook,41.514722,-87.645,Air Data NO2
25,01/27/1980,17-031-5001,1,42.0,ppb,40.0,23,96.0,42602,Nitrogen dioxide (NO2),176,"Chicago-Naperville-Michigan City, IL-IN-WI",16980,"Chicago-Naperville-Joliet, IL-IN-WI",17,Illinois,31,Cook,41.514722,-87.645,Air Data NO2
26,01/28/1980,17-031-5001,1,36.0,ppb,34.0,23,96.0,42602,Nitrogen dioxide (NO2),176,"Chicago-Naperville-Michigan City, IL-IN-WI",16980,"Chicago-Naperville-Joliet, IL-IN-WI",17,Illinois,31,Cook,41.514722,-87.645,Air Data NO2
27,01/29/1980,17-031-5001,1,44.0,ppb,42.0,24,100.0,42602,Nitrogen dioxide (NO2),176,"Chicago-Naperville-Michigan City, IL-IN-WI",16980,"Chicago-Naperville-Joliet, IL-IN-WI",17,Illinois,31,Cook,41.514722,-87.645,Air Data NO2
28,01/30/1980,17-031-5001,1,51.0,ppb,48.0,24,100.0,42602,Nitrogen dioxide (NO2),176,"Chicago-Naperville-Michigan City, IL-IN-WI",16980,"Chicago-Naperville-Joliet, IL-IN-WI",17,Illinois,31,Cook,41.514722,-87.645,Air Data NO2
29,01/31/1980,17-031-5001,1,45.0,ppb,42.0,24,100.0,42602,Nitrogen dioxide (NO2),176,"Chicago-Naperville-Michigan City, IL-IN-WI",16980,"Chicago-Naperville-Joliet, IL-IN-WI",17,Illinois,31,Cook,41.514722,-87.645,Air Data NO2
30,02/01/1980,17-031-5001,1,52.0,ppb,49.0,24,100.0,42602,Nitrogen dioxide (NO2),176,"Chicago-Naperville-Michigan City, IL-IN-WI",16980,"Chicago-Naperville-Joliet, IL-IN-WI",17,Illinois,31,Cook,41.514722,-87.645,Air Data NO2
31,02/02/1980,17-031-5001,1,68.0,ppb,66.0,24,100.0,42602,Nitrogen dioxide (NO2),176,"Chicago-Naperville-Michigan City, IL-IN-WI",16980,"Chicago-Naperville-Joliet, IL-IN-WI",17,Illinois,31,Cook,41.514722,-87.645,Air Data NO2
32,02/03/1980,17-031-5001,1,73.0,ppb,71.0,24,100.0,42602,Nitrogen dioxide (NO2),176,"Chicago-Naperville-Michigan City, IL-IN-WI",16980,"Chicago-Naperville-Joliet, IL-IN-WI",17,Illinois,31,Cook,41.514722,-87.645,Air Data NO2
33,02/04/1980,17-031-5001,1,73.0,ppb,71.0,24,100.0,42602,Nitrogen dioxide (NO2),176,"Chicago-Naperville-Michigan City, IL-IN-WI",16980,"Chicago-Naperville-Joliet, IL-IN-WI",17,Illinois,31,Cook,41.514722,-87.645,Air Data NO2
34,02/05/1980,17-031-5001,1,46.0,ppb,43.0,24,100.0,42602,Nitrogen dioxide (NO2),176,"Chicago-Naperville-Michigan City, IL-IN-WI",16980,"Chicago-Naperville-Joliet, IL-IN-WI",17,Illinois,31,Cook,41.514722,-87.645,Air Data NO2
35,02/06/1980,17-031-5001,1,42.0,ppb,40.0,24,100.0,42602,Nitrogen dioxide (NO2),176,"Chicago-Naperville-Michigan City, IL-IN-WI",16980,"Chicago-Naperville-Joliet, IL-IN-WI",17,Illinois,31,Cook,41.514722,-87.645,Air Data NO2
36,02/07/1980,17-031-5001,1,81.0,ppb,80.0,24,100.0,42602,Nitrogen dioxide (NO2),176,"Chicago-Naperville-Michigan City, IL-IN-WI",16980,"Chicago-Naperville-Joliet, IL-IN-WI",17,Illinois,31,Cook,41.514722,-87.645,Air Data NO2
37,02/08/1980,17-031-5001,1,63.0,ppb,61.0,24,100.0,42602,Nitrogen dioxide (NO2),176,"Chicago-Naperville-Michigan City, IL-IN-WI",16980,"Chicago-Naperville-Joliet, IL-IN-WI",17,Illinois,31,Cook,41.514722,-87.645,Air Data NO2
38,02/09/1980,17-031-5001,1,57.0,ppb,54.0,24,100.0,42602,Nitrogen dioxide (NO2),176,"Chicago-Naperville-Michigan City, IL-IN-WI",16980,"Chicago-Naperville-Joliet, IL-IN-WI",17,Illinois,31,Cook,41.514722,-87.645,Air Data NO2
39,02/10/1980,17-031-5001,1,57.0,ppb,54.0,24,100.0,42602,Nitrogen dioxide (NO2),176,"Chicago-Naperville-Michigan City, IL-IN-WI",16980,"Chicago-Naperville-Joliet, IL-IN-WI",17,Illinois,31,Cook,41.514722,-87.645,Air Data NO2
40,02/11/1980,17-031-5001,1,37.0,ppb,35.0,24,100.0,42602,Nitrogen dioxide (NO2),176,"Chicago-Naperville-Michigan City, IL-IN-WI",16980,"Chicago-Naperville-Joliet, IL-IN-WI",17,Illinois,31,Cook,41.514722,-87.645,Air Data NO2
41,02/12/1980,17-031-5001,1,48.0,ppb,45.0,24,100.0,42602,Nitrogen dioxide (NO2),176,"Chicago-Naperville-Michigan City, IL-IN-WI",16980,"Chicago-Naperville-Joliet, IL-IN-WI",17,Illinois,31,Cook,41.514722,-87.645,Air Data NO2
42,02/13/1980,17-031-5001,1,34.0,ppb,32.0,24,100.0,42602,Nitrogen dioxide (NO2),176,"Chicago-Naperville-Michigan City, IL-IN-WI",16980,"Chicago-Naperville-Joliet, IL-IN-WI",17,Illinois,31,Cook,41.514722,-87.645,Air Data NO2
43,02/14/1980,17-031-5001,1,57.0,ppb,54.0,24,100.0,42602,Nitrogen dioxide (NO2),176,"Chicago-Naperville-Michigan City, IL-IN-WI",16980,"Chicago-Naperville-Joliet, IL-IN-WI",17,Illinois,31,Cook,41.514722,-87.645,Air Data NO2
44,02/15/1980,17-031-5001,1,45.0,ppb,42.0,24,100.0,42602,Nitrogen dioxide (NO2),176,"Chicago-Naperville-Michigan City, IL-IN-WI",16980,"Chicago-Naperville-Joliet, IL-IN-WI",17,Illinois,31,Cook,41.514722,-87.645,Air Data NO2
45,02/16/1980,17-031-5001,1,45.0,ppb,42.0,24,100.0,42602,Nitrogen dioxide (NO2),176,"Chicago-Naperville-Michigan City, IL-IN-WI",16980,"Chicago-Naperville-Joliet, IL-IN-WI",17,Illinois,31,Cook,41.514722,-87.645,Air Data NO2
